,treatment,location,session,futuretense,mandarin,id,participant,period,a,b,c,d,interestrate,lowerbound,upperbound,randomperiod,finalprofit,client,gender,race,econ,course,female,chinese,econmajor,immi,identity,r1,l1,otherlanguage,whichlanguage,engcountry,pro1,pro2,often1,often2,chineseismainlanguage0english1ma
91,CN,1,160315_1339,0,1,12,12,4,4,4,8,9,0.16046347,0.14694667,0.16046347,2,10,HSSWKCAT15,Male,Chinese;,No,2,0,1,0,Foreigner,Malaysian Chinese,,Mandarin,,,,6.0,8.0,9.0,9.0,1.0
92,CN,1,160315_1339,0,1,12,12,5,1,0,1,9,0.64185387,0.5877867,0.64185387,2,10,HSSWKCAT15,Male,Chinese;,No,2,0,1,0,Foreigner,Malaysian Chinese,,Mandarin,,,,6.0,8.0,9.0,9.0,1.0
93,CN,1,160315_1339,0,1,12,12,6,4,0,4,9,0.16046347,0.14694667,0.16046347,2,10,HSSWKCAT15,Male,Chinese;,No,2,0,1,0,Foreigner,Malaysian Chinese,,Mandarin,,,,6.0,8.0,9.0,9.0,1.0
94,CN,1,160315_1339,0,1,12,12,7,2,0,2,9,0.32092693,0.29389334,0.32092693,2,10,HSSWKCAT15,Male,Chinese;,No,2,0,1,0,Foreigner,Malaysian Chinese,,Mandarin,,,,6.0,8.0,9.0,9.0,1.0
95,CN,1,160315_1339,0,1,12,12,8,1,4,5,9,0.64185387,0.5877867,0.64185387,2,10,HSSWKCAT15,Male,Chinese;,No,2,0,1,0,Foreigner,Malaysian Chinese,,Mandarin,,,,6.0,8.0,9.0,9.0,1.0
96,CN,1,160315_1339,0,1,13,13,1,2,4,6,9,0.32092693,0.29389334,0.32092693,6,10,HSSWKCAT17,Male,Chinese;,No,4,0,1,0,Singapore Citizen,Singaporean Chinese,,Mandarin,,,,10.0,10.0,10.0,10.0,1.0
97,CN,1,160315_1339,0,1,13,13,2,1,0,1,2,0.18232156,0.09531018,0.18232156,6,10,HSSWKCAT17,Male,Chinese;,No,4,0,1,0,Singapore Citizen,Singaporean Chinese,,Mandarin,,,,10.0,10.0,10.0,10.0,1.0
98,CN,1,160315_1339,0,1,13,13,3,8,4,12,8,0.073473334,0.06632853,0.073473334,6,10,HSSWKCAT17,Male,Chinese;,No,4,0,1,0,Singapore Citizen,Singaporean Chinese,,Mandarin,,,,10.0,10.0,10.0,10.0,1.0
99,CN,1,160315_1339,0,1,13,13,4,8,0,8,4,0.04205903,0.032795534,0.04205903,6,10,HSSWKCAT17,Male,Chinese;,No,4,0,1,0,Singapore Citizen,Singaporean Chinese,,Mandarin,,,,10.0,10.0,10.0,10.0,1.0
100,CN,1,160315_1339,0,1,13,13,5,1,4,5,5,0.4054651,0.33647224,0.4054651,6,10,HSSWKCAT17,Male,Chinese;,No,4,0,1,0,Singapore Citizen,Singaporean Chinese,,Mandarin,,,,10.0,10.0,10.0,10.0,1.0
101,CN,1,160315_1339,0,1,13,13,6,4,4,8,8,0.14694667,0.13265707,0.14694667,6,10,HSSWKCAT17,Male,Chinese;,No,4,0,1,0,Singapore Citizen,Singaporean Chinese,,Mandarin,,,,10.0,10.0,10.0,10.0,1.0
102,CN,1,160315_1339,0,1,13,13,7,4,0,4,4,0.08411806,0.06559107,0.08411806,6,10,HSSWKCAT17,Male,Chinese;,No,4,0,1,0,Singapore Citizen,Singaporean Chinese,,Mandarin,,,,10.0,10.0,10.0,10.0,1.0
103,CN,1,160315_1339,0,1,13,13,8,2,0,2,9,0.32092693,0.29389334,0.32092693,6,10,HSSWKCAT17,Male,Chinese;,No,4,0,1,0,Singapore Citizen,Singaporean Chinese,,Mandarin,,,,10.0,10.0,10.0,10.0,1.0
